Endpoint,Total Requests,Successful,Success Rate (%),Avg Latency (ms),Median Latency (ms),Min Latency (ms),Max Latency (ms),Std Dev (ms),95th Percentile (ms)
health,20,20,100.0,1.5920639038085938,1.397252082824707,0.827789306640625,3.570556640625,0.6425152546329711,2.77169942855835
recommendations,20,20,100.0,2.1883368492126465,1.5652179718017578,1.0685920715332031,4.713773727416992,1.1997995987150514,4.591012001037598
bulk_recommendations,10,10,100.0,5.050444602966309,4.730820655822754,3.361940383911133,8.227825164794922,1.67128367240363,7.945227622985839
comparison,20,20,100.0,4.193925857543945,4.296064376831055,1.727581024169922,7.360935211181641,1.5911989549728924,7.165920734405518
quote_generation,6,6,100.0,4.708607991536458,4.072785377502441,3.166675567626953,7.671356201171875,1.7639761043504216,7.238447666168213
comparison_quote,6,6,100.0,6.246288617451985,4.713177680969238,2.860069274902344,12.711763381958008,3.6463424440599614,11.602044105529785
recommendation_quote,6,6,100.0,4.178245862325032,4.309654235839844,1.8589496612548828,6.648778915405273,2.2304468029657922,6.487607955932617
