endpoint,p50,p75,p90,p95,p99
health,1.397252082824707,1.6464591026306152,2.278614044189454,2.77169942855835,3.410785198211669
recommendations,1.5652179718017578,2.6196241378784184,4.232001304626466,4.591012001037598,4.689221382141113
bulk_recommendations,4.730820655822754,5.399525165557861,7.662630081176758,7.945227622985839,8.171305656433105
comparison,4.296064376831055,4.8999786376953125,6.108307838439943,7.165920734405518,7.321932315826416
quote_generation,4.072785377502441,5.54656982421875,6.805539131164551,7.238447666168213,7.584774494171143
comparison_quote,4.713177680969238,7.46995210647583,10.492324829101562,11.602044105529785,12.489819526672363
recommendation_quote,4.309654235839844,5.9760212898254395,6.326436996459961,6.487607955932617,6.616544723510742
