timestamp,endpoint,property_id,response_time_ms,status_code,request_size_bytes,response_size_bytes,success,error_message
2025-07-18T23:00:58.476461,single_property,7201,5.9299468994140625,200,32,99796,True,
2025-07-18T23:00:58.482431,single_property,7202,4.682302474975586,200,32,98236,True,
2025-07-18T23:00:58.487141,single_property,7203,5.805492401123047,200,32,100134,True,
2025-07-18T23:00:58.492976,single_property,7204,4.470348358154297,200,32,98611,True,
2025-07-18T23:00:58.497469,single_property,7205,5.145788192749023,200,32,99332,True,
2025-07-18T23:00:58.502642,single_property,7206,6.459474563598633,200,32,97450,True,
2025-07-18T23:00:58.509128,single_property,7207,6.277561187744141,200,32,100524,True,
2025-07-18T23:00:58.515437,single_property,7208,7.573604583740234,200,32,98251,True,
2025-07-18T23:00:58.523042,single_property,7209,5.209207534790039,200,32,98109,True,
2025-07-18T23:00:58.528277,single_property,7210,5.1364898681640625,200,32,98573,True,
2025-07-18T23:00:58.533476,single_property,7211,6.560325622558594,200,32,98954,True,
2025-07-18T23:00:58.540060,single_property,7212,5.245685577392578,200,32,99112,True,
2025-07-18T23:00:58.545331,single_property,7213,6.89387321472168,200,32,98214,True,
2025-07-18T23:00:58.552247,single_property,7214,5.76472282409668,200,32,98889,True,
2025-07-18T23:00:58.558179,single_property,7215,5.630970001220703,200,32,81031,True,
2025-07-18T23:00:58.563838,single_property,7216,6.079912185668945,200,32,99415,True,
2025-07-18T23:00:58.569941,single_property,7217,5.774736404418945,200,32,97188,True,
2025-07-18T23:00:58.575742,single_property,7218,5.632638931274414,200,32,98865,True,
2025-07-18T23:00:58.581399,single_property,7219,5.657434463500977,200,32,67522,True,
2025-07-18T23:00:58.587083,single_property,7220,6.463289260864258,200,32,42090,True,
2025-07-18T23:00:58.593573,single_property,7221,4.782915115356445,200,32,75224,True,
2025-07-18T23:00:58.598381,single_property,7222,3.679990768432617,200,32,79547,True,
2025-07-18T23:00:58.602078,single_property,7223,5.401372909545898,200,32,99461,True,
2025-07-18T23:00:58.607503,single_property,7224,5.715608596801758,200,32,101389,True,
2025-07-18T23:00:58.613287,single_property,7225,5.103111267089844,200,32,51326,True,
2025-07-18T23:00:58.618411,single_property,7226,6.8073272705078125,200,32,87973,True,
2025-07-18T23:00:58.625259,single_property,7227,6.276607513427734,200,32,53359,True,
