timestamp,endpoint,contact_id,response_time_ms,status_code,request_size_bytes,response_size_bytes,success,error_message
2025-07-18T21:31:12.988019,single_contact,2001,1.325845718383789,200,13,9905,True,
2025-07-18T21:31:12.989399,single_contact,2002,0.9939670562744141,200,13,9773,True,
2025-07-18T21:31:12.990432,single_contact,2003,0.8728504180908203,200,13,10049,True,
2025-07-18T21:31:12.991337,single_contact,2004,0.8680820465087891,200,13,9860,True,
2025-07-18T21:31:12.992238,single_contact,2005,0.5495548248291016,200,13,10144,True,
2025-07-18T21:31:12.992817,single_contact,2006,0.6799697875976562,200,13,9910,True,
2025-07-18T21:31:12.993526,single_contact,2007,0.5254745483398438,200,13,9910,True,
2025-07-18T21:31:12.994079,single_contact,2008,0.4851818084716797,200,13,10122,True,
2025-07-18T21:31:12.994591,single_contact,2009,0.5559921264648438,200,13,10135,True,
2025-07-18T21:31:12.995174,single_contact,2010,0.7295608520507812,200,13,10151,True,
2025-07-18T21:31:12.995939,single_contact,2011,0.8523464202880859,200,13,9951,True,
2025-07-18T21:31:12.996824,single_contact,2012,0.5998611450195312,200,13,10069,True,
2025-07-18T21:31:12.997456,single_contact,2013,0.7147789001464844,200,13,10021,True,
2025-07-18T21:31:12.998208,single_contact,2014,0.9973049163818359,200,13,10063,True,
2025-07-18T21:31:12.999247,single_contact,2015,0.8661746978759766,200,13,10280,True,
2025-07-18T21:31:13.000151,single_contact,2016,0.7944107055664062,200,13,10096,True,
2025-07-18T21:31:13.000987,single_contact,2017,1.1172294616699219,200,13,10154,True,
2025-07-18T21:31:13.002155,single_contact,2018,1.0597705841064453,200,13,9913,True,
2025-07-18T21:31:13.003256,single_contact,2019,1.3875961303710938,200,13,10071,True,
2025-07-18T21:31:13.004699,single_contact,2020,1.7147064208984375,200,13,9823,True,
2025-07-18T21:31:13.006493,single_contact,2021,1.0797977447509766,200,13,9806,True,
2025-07-18T21:31:13.007624,single_contact,2022,1.5501976013183594,200,13,10182,True,
2025-07-18T21:31:13.009278,single_contact,2023,1.018524169921875,200,13,10060,True,
2025-07-18T21:31:13.010439,single_contact,2024,2.167940139770508,200,13,10082,True,
2025-07-18T21:31:13.012649,single_contact,2025,1.2717247009277344,200,13,9941,True,
2025-07-18T21:31:13.013983,single_contact,2026,1.1105537414550781,200,13,9926,True,
2025-07-18T21:31:13.015137,single_contact,2027,1.1963844299316406,200,13,9822,True,
2025-07-18T21:31:13.016382,single_contact,2028,0.9298324584960938,200,13,10075,True,
2025-07-18T21:31:13.017358,single_contact,2029,1.1229515075683594,200,13,10087,True,
2025-07-18T21:31:13.018541,single_contact,2030,1.1866092681884766,200,13,10079,True,
2025-07-18T21:31:13.019779,single_contact,2031,1.1742115020751953,200,13,10167,True,
2025-07-18T21:31:13.021026,single_contact,2032,1.0962486267089844,200,13,10255,True,
2025-07-18T21:31:13.022158,single_contact,2033,0.7469654083251953,200,13,10037,True,
2025-07-18T21:31:13.022935,single_contact,2034,0.6582736968994141,200,13,9971,True,
2025-07-18T21:31:13.023621,single_contact,2035,0.652313232421875,200,13,10076,True,
2025-07-18T21:31:13.024302,single_contact,2036,0.6012916564941406,200,13,10314,True,
2025-07-18T21:31:13.024930,single_contact,2037,0.5605220794677734,200,13,9769,True,
2025-07-18T21:31:13.025519,single_contact,2038,0.5304813385009766,200,13,10156,True,
2025-07-18T21:31:13.026077,single_contact,2039,0.5261898040771484,200,13,10124,True,
2025-07-18T21:31:13.026631,single_contact,2040,0.5338191986083984,200,13,9854,True,
2025-07-18T21:31:13.027193,single_contact,2041,0.5359649658203125,200,13,9597,True,
2025-07-18T21:31:13.027756,single_contact,2042,0.7426738739013672,200,13,10313,True,
2025-07-18T21:31:13.028536,single_contact,2043,0.7848739624023438,200,13,9725,True,
2025-07-18T21:31:13.029355,single_contact,2044,0.8039474487304688,200,13,9958,True,
2025-07-18T21:31:13.030192,single_contact,2045,0.5869865417480469,200,13,9973,True,
2025-07-18T21:31:13.030808,single_contact,2046,0.8869171142578125,200,13,10002,True,
2025-07-18T21:31:13.031739,single_contact,2047,0.92315673828125,200,13,10150,True,
2025-07-18T21:31:13.032704,single_contact,2048,1.0542869567871094,200,13,9893,True,
2025-07-18T21:31:13.033814,single_contact,2049,1.1730194091796875,200,13,10031,True,
2025-07-18T21:31:13.035041,single_contact,2050,1.1749267578125,200,13,10214,True,
2025-07-18T21:31:13.036264,single_contact,2051,1.2617111206054688,200,13,9879,True,
2025-07-18T21:31:13.037589,single_contact,2052,1.3391971588134766,200,13,10120,True,
2025-07-18T21:31:13.039045,single_contact,2053,1.5518665313720703,200,13,9952,True,
2025-07-18T21:31:13.040653,single_contact,2054,0.9934902191162109,200,13,10025,True,
2025-07-18T21:31:13.041688,single_contact,2055,0.8037090301513672,200,13,9958,True,
2025-07-18T21:31:13.042527,single_contact,2056,0.7653236389160156,200,13,10200,True,
2025-07-18T21:31:13.043326,single_contact,2057,0.7901191711425781,200,13,9999,True,
2025-07-18T21:31:13.044148,single_contact,2058,0.7853507995605469,200,13,10109,True,
2025-07-18T21:31:13.044967,single_contact,2059,0.6744861602783203,200,13,10045,True,
2025-07-18T21:31:13.045673,single_contact,2060,0.6229877471923828,200,13,10216,True,
2025-07-18T21:31:13.046330,single_contact,2061,0.6036758422851562,200,13,9980,True,
2025-07-18T21:31:13.046961,single_contact,2062,0.5328655242919922,200,13,10120,True,
2025-07-18T21:31:13.047525,single_contact,2063,0.4870891571044922,200,13,10005,True,
2025-07-18T21:31:13.048035,single_contact,2064,0.4589557647705078,200,13,9793,True,
2025-07-18T21:31:13.048521,single_contact,2065,0.6082057952880859,200,13,10139,True,
2025-07-18T21:31:13.049157,single_contact,2066,0.6182193756103516,200,13,9839,True,
2025-07-18T21:31:13.049803,single_contact,2067,0.6470680236816406,200,13,9894,True,
2025-07-18T21:31:13.050482,single_contact,2068,0.6692409515380859,200,13,10287,True,
2025-07-18T21:31:13.051181,single_contact,2069,1.0962486267089844,200,13,9700,True,
2025-07-18T21:31:13.052353,single_contact,2070,1.1055469512939453,200,13,9857,True,
2025-07-18T21:31:13.053500,single_contact,2071,0.93841552734375,200,13,9947,True,
2025-07-18T21:31:13.054491,single_contact,2072,0.8649826049804688,200,13,10132,True,
2025-07-18T21:31:13.055394,single_contact,2073,1.3260841369628906,200,13,10147,True,
2025-07-18T21:31:13.056771,single_contact,2074,0.8172988891601562,200,13,9955,True,
2025-07-18T21:31:13.057626,single_contact,2075,0.6272792816162109,200,13,9942,True,
2025-07-18T21:31:13.058285,single_contact,2076,0.5698204040527344,200,13,10024,True,
2025-07-18T21:31:13.058884,single_contact,2077,0.6315708160400391,200,13,9974,True,
2025-07-18T21:31:13.059562,single_contact,2078,0.5285739898681641,200,13,10074,True,
2025-07-18T21:31:13.060116,single_contact,2079,0.6175041198730469,200,13,10301,True,
2025-07-18T21:31:13.060765,single_contact,2080,0.7312297821044922,200,13,9669,True,
2025-07-18T21:31:13.061534,single_contact,2081,0.6420612335205078,200,13,9990,True,
2025-07-18T21:31:13.062206,single_contact,2082,0.629425048828125,200,13,10071,True,
2025-07-18T21:31:13.062862,single_contact,2083,0.6072521209716797,200,13,9898,True,
2025-07-18T21:31:13.063496,single_contact,2084,0.5903244018554688,200,13,9952,True,
2025-07-18T21:31:13.064113,single_contact,2085,0.6611347198486328,200,13,10408,True,
2025-07-18T21:31:13.064805,single_contact,2086,0.5660057067871094,200,13,9819,True,
