endpoint,p50,p75,p90,p95,p99
health,1.5714168548583984,2.033114433288574,2.475333213806152,3.2974839210510236,3.9552044868469243
recommendations,1.887679100036621,3.4242868423461914,4.136800765991211,4.285931587219238,4.40523624420166
bulk_recommendations,4.689216613769531,5.726337432861328,7.416629791259766,7.980060577392577,8.430805206298828
comparison,3.7592649459838867,4.042267799377441,6.190347671508789,6.5446138381958,6.82802677154541
quote_generation,3.077268600463867,3.5086870193481445,3.767538070678711,3.8538217544555664,3.922848701477051
comparison_quote,4.828453063964844,4.862546920776367,4.883003234863281,4.889822006225586,4.89527702331543
recommendation_quote,3.1480789184570312,3.991365432739258,4.497337341308594,4.665994644165039,4.800920486450195
