Endpoint,Total Requests,Successful,Success Rate (%),Avg Latency (ms),Median Latency (ms),Min Latency (ms),Max Latency (ms),Std Dev (ms),95th Percentile (ms)
health,10,10,100.0,1.8116474151611328,1.5714168548583984,0.9136199951171876,4.119634628295898,0.9238520432098939,3.2974839210510236
recommendations,10,10,100.0,2.4277210235595703,1.887679100036621,1.2888908386230469,4.435062408447266,1.2080986626377055,4.285931587219238
bulk_recommendations,5,5,100.0,5.218076705932617,4.689216613769531,2.492666244506836,8.54349136352539,2.199998678971811,7.980060577392577
comparison,10,10,100.0,3.883075714111328,3.7592649459838867,2.1355152130126958,6.8988800048828125,1.5700697898814462,6.5446138381958
quote_generation,3,3,100.0,3.1583309173583984,3.077268600463867,2.4576187133789062,3.940105438232422,0.7445603043118522,3.8538217544555664
comparison_quote,3,3,100.0,4.439115524291992,4.828453063964844,3.592252731323242,4.896640777587891,0.7341967268099256,4.889822006225586
recommendation_quote,3,3,100.0,3.3364295959472656,3.1480789184570312,2.026557922363281,4.834651947021484,1.413490359398871,4.665994644165039
