timestamp,endpoint,property_id,response_time_ms,status_code,request_size_bytes,response_size_bytes,success,error_message,scenario,top_k_value,min_score_value,top_percentile_value,batch_size
2025-07-18T23:08:33.733698,single_property,7201,1.3456344604492188,200,32,99796,True,,baseline,,0.5,,
2025-07-18T23:08:33.735076,single_property,7202,1.039266586303711,200,32,98236,True,,baseline,,0.5,,
2025-07-18T23:08:33.736131,single_property,7203,0.9751319885253906,200,32,100134,True,,baseline,,0.5,,
2025-07-18T23:08:33.737119,single_property,7204,0.8392333984375,200,32,98611,True,,baseline,,0.5,,
2025-07-18T23:08:33.737970,single_property,7205,0.9491443634033203,200,32,99332,True,,baseline,,0.5,,
2025-07-18T23:08:33.738932,single_property,7206,0.9112358093261719,200,32,97450,True,,baseline,,0.5,,
2025-07-18T23:08:33.739857,single_property,7207,1.5895366668701172,200,32,100524,True,,baseline,,0.5,,
2025-07-18T23:08:33.741484,single_property,7208,1.7595291137695312,200,32,98251,True,,baseline,,0.5,,
2025-07-18T23:08:33.743268,single_property,7209,1.4929771423339844,200,32,98109,True,,baseline,,0.5,,
2025-07-18T23:08:33.744787,single_property,7210,1.3973712921142578,200,32,98573,True,,baseline,,0.5,,
2025-07-18T23:08:33.746239,single_property,7211,1.636505126953125,200,32,98954,True,,baseline,,0.5,,
2025-07-18T23:08:33.747899,single_property,7212,1.4681816101074219,200,32,99109,True,,baseline,,0.5,,
2025-07-18T23:08:33.749408,single_property,7213,0.9238719940185547,200,32,98214,True,,baseline,,0.5,,
2025-07-18T23:08:33.750343,single_property,7214,0.7944107055664062,200,32,98889,True,,baseline,,0.5,,
2025-07-18T23:08:33.751148,single_property,7215,0.8034706115722656,200,32,98507,True,,baseline,,0.5,,
2025-07-18T23:08:33.751991,single_property,7216,0.8261203765869141,200,32,99418,True,,baseline,,0.5,,
2025-07-18T23:08:33.752827,single_property,7217,1.0178089141845703,200,32,98157,True,,baseline,,0.5,,
2025-07-18T23:08:33.753858,single_property,7218,0.9286403656005859,200,32,98865,True,,baseline,,0.5,,
2025-07-18T23:08:33.754800,single_property,7219,0.8308887481689453,200,32,98868,True,,baseline,,0.5,,
2025-07-18T23:08:33.755640,single_property,7220,0.7646083831787109,200,32,96979,True,,baseline,,0.5,,
2025-07-18T23:08:33.756453,single_property,7221,0.7104873657226562,200,32,97273,True,,baseline,,0.5,,
2025-07-18T23:08:33.757173,single_property,7222,0.8368492126464844,200,32,100505,True,,baseline,,0.5,,
2025-07-18T23:08:33.758023,single_property,7223,0.8828639984130859,200,32,99461,True,,baseline,,0.5,,
2025-07-18T23:08:33.758919,single_property,7224,1.3141632080078125,200,32,101386,True,,baseline,,0.5,,
2025-07-18T23:08:33.760251,single_property,7225,1.0297298431396484,200,32,98433,True,,baseline,,0.5,,
2025-07-18T23:08:33.761292,single_property,7226,0.9043216705322266,200,32,98794,True,,baseline,,0.5,,
2025-07-18T23:08:33.762208,single_property,7227,1.1258125305175781,200,32,97120,True,,baseline,,0.5,,
2025-07-18T23:08:33.763350,single_property,7228,0.9961128234863281,200,32,100464,True,,baseline,,0.5,,
2025-07-18T23:08:33.764395,single_property,7229,1.024484634399414,200,32,100427,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.765436,single_property,7230,1.1186599731445312,200,32,85979,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.766572,single_property,7231,0.7898807525634766,200,32,50944,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.767373,single_property,7232,1.0166168212890625,200,32,100339,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.768400,single_property,7233,1.0352134704589844,200,32,99577,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.769447,single_property,7234,1.3165473937988281,200,32,99598,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.770780,single_property,7235,1.0304450988769531,200,32,98292,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.771826,single_property,7236,1.0464191436767578,200,32,70044,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.772886,single_property,7237,0.8997917175292969,200,32,33600,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.773797,single_property,7238,1.058816909790039,200,32,100924,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.774933,single_property,7239,0.9734630584716797,200,32,66457,True,,high_threshold,,0.7,,
